ID,Product,Brand,Model,Notes,Network Techology,Network 2G bands,Network 3G bands,Network 4G bands,Network 5G bands,Network Speed,Network GPRS,Network EDGE,Announced,Status,Body Dimensions,Body Weight,Body Built,Body Keyboard,Body SIM,Body other,Display Type,Display Size,Display Resolution,Display Protection,Display other,Platform OS,Platform Chipset,Platform CPU,Platform GPU,Memory Card slot,Memory Phonebook,Memory Internal,Memory Call records,Memory Other,Main Camera Single,Main Camera Dual,Main Camera Triple,Main Camera Quad,Main Camera Five,Main Camera Penta,Main Camera Features,Main Camera Video,Selfie Camera Single,Selfie Camera Dual,Selfie Camera Triple,Selfie Camera Quad,Selfie Camera Features,Selfie Camera Video,Sound Alert types,Sound Loudspeaker,Sound 3.5mm jack,Sound other,Comms WLAN,Comms Bluetooth,Comms GPS,Comms NFC,Comms Radio,Comms USB,Comms Other,Features Sensors,Features Messaging,Features Browser,Features Clock,Features Alarm,Features Games,Features Languages,Features Java,Features other,Battery other,Battery Charging,Battery Stand by,Battery Talk time,Battery Music play,Misc Colors,Misc Models,Misc SAR US,Misc SAR EU,Misc Price group
11941,Apple iPad (2022),Apple,iPad (2022),"Also known as Apple iPad 10th Gen, Apple iPad (10th generation), Apple iPad 10.9-inch
Wi-Fi + Cellular & GPS: A2757 (Global); A2777 (China)
Wi-Fi only, w/o GPS: A2696",GSM / HSPA / LTE / 5G;,GSM 850 / 900 / 1800 / 1900 ;,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - A2757;,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2757;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2777;","1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 29, 30, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - A2757, A2777;","HSPA, LTE, 5G;",,,"2022, October 18;","Available. Released 2022, October 26;",248.6 x 179.5 x 7 mm (9.79 x 7.07 x 0.28 in);,477 g (Wi-Fi) / 481 g (LTE) (1.05 lb);,"Glass front, aluminum back, aluminum frame;",,Nano-SIM and eSIM;,Stylus support (1st gen only);,"Liquid Retina IPS LCD, 500 nits (typ);","10.9 inches, 359.2 cm2 (~80.5% screen-to-body ratio);",1640 x 2360 pixels (~264 ppi density);,"Scratch-resistant glass, oleophobic coating;",,"iPadOS 16.1, upgradable to iPadOS 17.5.1;",Apple A14 Bionic (5 nm);,Hexa-core (2x3.0 GHz Firestorm + 4x1.8 GHz Icestorm);,Apple GPU (4-core graphics);,No;,,"64GB 4GB RAM, 256GB 4GB RAM;",,,"12 MP, f/1.8, (wide), PDAF;",,,,,,"HDR, panorama;","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps;","12 MP, f/2.4, 122Ëš (ultrawide);",,,,HDR;,"1080p@25/30/60fps, gyro-EIS;",,"Yes, with stereo speakers;",No;,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot;","5.2, A2DP, EDR, LE;","GPS, GLONASS (Wiâ€‘Fi + Cellular model only);",No;,No;,"USB Type-C 2.0, DisplayPort; magnetic connector;",,"Fingerprint (top-mounted), accelerometer, gyro, compass, barometer;",,,,,,,,,"Li-Po 7606 mAh, non-removable (28.6 Wh);",,,,,"Silver, Blue, Pink, Yellow;","A2757, A2777, A2696, iPad13,18, iPad13,19;",,,About 430 EUR;
9857,Apple iPad 10.2 (2019),Apple,iPad 10.2 (2019),"Also known as Apple iPad 7th Gen, Apple iPad (7th generation)
Wi-Fi + Cellular & GPS: A2200, A2198 (Global)
Wi-Fi only, w/o GPS: A2197 (Global)",GSM / CDMA / HSPA / EVDO / LTE;,GSM 850 / 900 / 1800 / 1900 ;CDMA 800 / 1900 ;,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ;CDMA2000 1xEV-DO ;,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 29, 30, 34, 38, 39, 40, 41, 66, 71 - A2200;1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 34, 38, 39, 40, 41, 66 - A2198;",,"HSPA 42.2/5.76 Mbps, LTE (CA) Cat16 1024/150 Mbps, EV-DO Rev.A 3.1 Mbps;",,,"2019, September 12;","Available. Released 2019, September 21;",250.6 x 174.1 x 7.5 mm (9.87 x 6.85 x 0.30 in);,483 g (Wi-Fi) / 493 g (LTE) (1.06 lb);,"Glass front, aluminum back, aluminum frame;",,Nano-SIM and eSIM;,Stylus support (1st gen only);,IPS LCD;,"10.2 inches, 324.6 cm2 (~74.4% screen-to-body ratio);","1620 x 2160 pixels, 4:3 ratio (~264 ppi density);","Scratch-resistant glass, oleophobic coating;",,"iOS 13, upgradable to iPadOS 17.5.1.1;",Apple A10 Fusion (16 nm);,Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr);,PowerVR Series7XT Plus (six-core graphics);,No;,,"32GB 3GB RAM, 128GB 3GB RAM;",,,"8 MP, f/2.4, 31mm (standard), 1.12Âµm, AF;",,,,,,HDR;,"1080p@30fps, 720p@120fps, HDR;","1.2 MP, f/2.2, 31mm (standard);",,,,HDR;,720p@30fps;,,"Yes, with stereo speakers;",Yes;,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;","4.2, A2DP, EDR, LE;","GPS, GLONASS (Wiâ€‘Fi + Cellular model only);",No;,No;,"Lightning, USB 2.0; magnetic connector;",,"Fingerprint (front-mounted), accelerometer, gyro, compass, barometer;",,,,,,,,,"Li-Po 8827 mAh, non-removable (32.9 Wh);",,,Up to 10 h (multimedia);,,"Silver, Gold, Space Gray;","A2197, A2200, A2198, iPad7,11, iPad7,12;",,,About 350 EUR;
10445,Apple iPad 10.2 (2020),Apple,iPad 10.2 (2020),"Also known as Apple iPad 8th Gen, Apple iPad (8th generation)
Wi-Fi + Cellular & GPS: A2428, A2429 (Global), A2430 (China)
Wi-Fi only, w/o GPS: A2270 (Global)",GSM / HSPA / LTE;,GSM 850 / 900 / 1800 / 1900 ;,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ;,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 29, 30, 34, 38, 39, 40, 41, 66, 71 - A2428;1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 66 - A2429;",,"HSPA, LTE (CA);",,,"2020, September 15;","Available. Released 2020, September 18;",250.6 x 174.1 x 7.5 mm (9.87 x 6.85 x 0.30 in);,490 g (Wi-Fi) / 495 g (LTE) (1.08 lb);,"Glass front, aluminum back, aluminum frame;",,Nano-SIM and eSIM;,Stylus support (1st gen only);,"Retina IPS LCD, 500 nits (typ);","10.2 inches, 324.6 cm2 (~74.4% screen-to-body ratio);","1620 x 2160 pixels, 4:3 ratio (~264 ppi density);","Scratch-resistant glass, oleophobic coating;",,"iPadOS 14, upgradable to iPadOS 17.5.1;",Apple A12 Bionic (7 nm);,Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest);,Apple GPU (4-core graphics);,No;,,"32GB 3GB RAM, 128GB 3GB RAM;",,,"8 MP, f/2.4, 31mm (standard), 1.12Âµm, AF;",,,,,,"HDR, panorama;","1080p@30fps, 720p@120fps, HDR;","1.2 MP, f/2.2, 31mm (standard);",,,,HDR;,720p@30fps;,,"Yes, with stereo speakers;",Yes;,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;","4.2, A2DP, EDR, LE;","GPS, GLONASS (Wiâ€‘Fi + Cellular model only);",No;,No;,"Lightning, USB 2.0; magnetic connector;",,"Fingerprint (front-mounted), accelerometer, gyro, compass, barometer;",,,,,,,,,"Li-Ion, non-removable (32.4 Wh);",,,,,"Silver, Gold, Space Gray;","A2428, A2429, A2270, A2430, iPad11,6, iPad11,7;",,,About 370 EUR;
11106,Apple iPad 10.2 (2021),Apple,iPad 10.2 (2021),"Also known as Apple iPad 9th Gen, Apple iPad (9th generation)
Versions: A2603, A2604 (Global)",GSM / HSPA / LTE;,GSM 850 / 900 / 1800 / 1900 ;,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ;,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 29, 30, 34, 38, 39, 40, 41, 66, 71 - A2603;1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 34, 38, 39, 40, 41, 66 - A2604;",,"HSPA, LTE (CA);",,,"2021, September 14;","Available. Released 2021, September 24;",250.6 x 174.1 x 7.5 mm (9.87 x 6.85 x 0.30 in);,487 g (Wi-Fi) / 498 g (LTE) (1.07 lb);,"Glass front, aluminum back, aluminum frame;",,Nano-SIM and eSIM;,Stylus support (1st gen only);,"Retina IPS LCD, 500 nits (typ);","10.2 inches, 322.2 cm2 (~73.8% screen-to-body ratio);","1620 x 2160 pixels, 4:3 ratio (~265 ppi density);","Scratch-resistant glass, oleophobic coating;",,"iPadOS 15, upgradable to iPadOS 17.5.1;",Apple A13 Bionic (7 nm+);,Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder);,Apple GPU (4-core graphics);,No;,,"64GB 3GB RAM, 256GB 3GB RAM;",,,"8 MP, f/2.4, 31mm (standard), 1.12Âµm, AF;",,,,,,"HDR, panorama;","1080p@25/30fps, 720p@120fps; gyro-EIS;","12 MP, f/2.4, 122Ëš (ultrawide);",,,,HDR;,"1080p@25/30/60fps, gyro-EIS;",,"Yes, with stereo speakers;",Yes;,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;","4.2, A2DP, EDR, LE;","GPS, GLONASS (Wiâ€‘Fi + Cellular model only);",No;,No;,"Lightning, USB 2.0; magnetic connector;",,"Fingerprint (front-mounted), accelerometer, gyro, compass, barometer;",,,,,,,,,"Li-Ion, non-removable 8557 mAh (32.4 Wh);",,,,,"Silver, Space Gray;","A2603, A2604, iPad12,1, iPad12,2;",,,About 430 EUR;
3849,Apple iPad 2 CDMA,Apple,iPad 2 CDMA,Also known as Apple iPad CDMA Early 2011,CDMA / EVDO;,CDMA 800 / 1900 ;,CDMA2000 1xEV-DO ;,,,EV-DO Rev.A 3.1 Mbps;,,,"2011, March. Released 2011, March;",Discontinued;,241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in);,607 g (1.34 lb);,,,Mini-SIM;,,IPS LCD;,"9.7 inches, 291.4 cm2 (~65.1% screen-to-body ratio);","768 x 1024 pixels, 4:3 ratio (~132 ppi density);","Scratch-resistant glass, oleophobic coating;",,"iOS 4, upgradable to iOS 9.2.1;",Apple A5 (45 nm);,Dual-core 1.0 GHz Cortex-A9;,PowerVR SGX543MP2;,No;,,"16GB 512MB RAM, 32GB 512MB RAM, 64GB 512MB RAM;",,,0.7 MP;,,,,,,,720p@30fps;,VGA;,,,,,;,,Yes;,Yes;,,"Wi-Fi 802.11 a/b/g/n, dual-band;","2.1, A2DP, EDR;","GPS, A-GPS;",,No;,2.0;,,"Accelerometer, gyro, compass;",,HTML (Safari);,,,,,,"iCloud cloud service
MP3/WAV player
MP4/H.264 player
Document viewer;",Non-removable Li-Po 6930 mAh battery (25 Wh);,,,,,"Black, White;","A1397, iPad2,3;",,,About 200 EUR;
3847,Apple iPad 2 Wi-Fi,Apple,iPad 2 Wi-Fi,Also known as Apple iPad Wi-Fi Early 2011,No cellular connectivity;, N/A;,,,,,No;,No;,"2011, March. Released 2011, March;",Discontinued;,241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in);,601 g (1.32 lb);,,,No;,,IPS LCD;,"9.7 inches, 291.4 cm2 (~65.1% screen-to-body ratio);","768 x 1024 pixels, 4:3 ratio (~132 ppi density);","Scratch-resistant glass, oleophobic coating;",,"iOS 4, upgradable to iOS 9.3.5;",Apple A5 (45 nm);,Dual-core 1.0 GHz Cortex-A9;,PowerVR SGX543MP2;,No;,,"16GB 512MB RAM, 32GB 512MB RAM, 64GB 512MB RAM;",,,0.7 MP;,,,,,,,720p@30fps;,VGA;,,,,,;,,Yes;,Yes;,,"Wi-Fi 802.11 a/b/g/n, dual-band;","2.1, A2DP, EDR;",No;,,No;,2.0;,,"Accelerometer, gyro, compass;",,HTML (Safari);,,,,,,,Non-removable Li-Po 6930 mAh battery (25 Wh);,,Up to 720 h;,Up to 10 h;,,"Black, White;","A1395,  iPad2,1, iPad2,4;",,,About 200 EUR;
3848,Apple iPad 2 Wi-Fi + 3G,Apple,iPad 2 Wi-Fi + 3G,Also known as Apple iPad Wi-Fi + 3G Early 2011,GSM / HSPA;,GSM 850 / 900 / 1800 / 1900 ;,HSDPA 850 / 900 / 1900 / 2100 ;,,,HSPA 14.4/2 Mbps;,,,"2011, March. Released 2011, March;",Discontinued;,241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in);,607 g (1.34 lb);,,,Micro-SIM;,,IPS LCD;,"9.7 inches, 291.4 cm2 (~65.1% screen-to-body ratio);","768 x 1024 pixels, 4:3 ratio (~132 ppi density);","Scratch-resistant glass, oleophobic coating;",,"iOS 4, upgradable to iOS 9.3.5;",Apple A5 (45 nm);,Dual-core 1.0 GHz Cortex-A9;,PowerVR SGX543MP2;,No;,,"16GB 512MB RAM, 32GB 512MB RAM, 64GB 512MB RAM;",,,0.7 MP;,,,,,,,720p@30fps;,VGA;,,,,,;,,Yes;,Yes;,,"Wi-Fi 802.11 a/b/g/n, dual-band;","2.1, A2DP, EDR;","GPS, A-GPS;",,No;,2.0;,,"Accelerometer, gyro, compass;",,HTML (Safari);,,,,,,,Non-removable Li-Po 6930 mAh battery (25 Wh);,,Up to 720 h;,Up to 9 h;,,"Black, White;","A1396, A1397, iPad2,2;",1.19 W/kg (body) &nbsp; &nbsp; ;,1.19 W/kg (body) &nbsp; &nbsp; ;,About 370 EUR;
4621,Apple iPad 3 Wi-Fi,Apple,iPad 3 Wi-Fi,"Also known as Apple iPad Wi-Fi Early 2012, Apple iPad (3rd generation)",No cellular connectivity;, N/A;,,,,,No;,No;,"2012, March. Released 2012, March 16;",Discontinued;,241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in);,652 g (1.44 lb);,,,No;,,IPS LCD;,"9.7 inches, 291.4 cm2 (~65.1% screen-to-body ratio);","1536 x 2048 pixels, 4:3 ratio (~264 ppi density);","Scratch-resistant glass, oleophobic coating;",,"iOS 5.1, upgradable to iOS 9.3.5;",Apple A5X (45 nm);,Dual-core 1.0 GHz Cortex-A9;,PowerVR SGX543MP4 (quad-core graphics);,No;,,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM;",,,"5 MP, AF;",,,,,,,1080p@30fps;,"VGA, videocalling over Wi-Fi only;",,,,,480p@30fps;,,Yes;,Yes;,,"Wi-Fi 802.11 a/b/g/n, dual-band;","4.0, A2DP;",No;,,No;,2.0;,,"Accelerometer, gyro, compass;",,,,,,,,,Non-removable Li-Po 11560 mAh battery (42.5 Wh);,,Up to 720 h;,Up to 10 h;,,"Black, White;","A1416, iPad3,1;",,,About 290 EUR;
4620,Apple iPad 3 Wi-Fi + Cellular,Apple,iPad 3 Wi-Fi + Cellular,"Also known as Apple iPad Wi-Fi + 4G Early 2012, Apple iPad 3 Wi-Fi + 4G, Apple iPad (3rd generation)
CDMA available only if sold and activated for use on a CDMA network
LTE only supported on AT&T and Verizon networks in the US and  Bell, Rogers, and Telus networks in Canada",GSM / CDMA / HSPA / EVDO / LTE;,GSM 850 / 900 / 1800 / 1900 ;CDMA 800 / 1900 - for Verizon;,HSDPA 850 / 900 / 1900 / 2100 ;CDMA2000 1xEV-DO - for Verizon;,"4, 17 - AT&T;13 - for Verizon;",,"HSPA, LTE, EV-DO Rev.A 3.1 Mbps;",,,"2012, March. Released 2012, March 16;",Discontinued;,241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in);,662 g (1.46 lb);,,,Micro-SIM;,,IPS LCD;,"9.7 inches, 291.4 cm2 (~65.1% screen-to-body ratio);","1536 x 2048 pixels, 4:3 ratio (~264 ppi density);","Scratch-resistant glass, oleophobic coating;",,"iOS 5.1, upgradable to iOS 9.3.5;",Apple A5X (45 nm);,Dual-core 1.0 GHz Cortex-A9;,PowerVR SGX543MP4 (quad-core graphics);,No;,,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM;",,,"5 MP, AF;",,,,,,,1080p@30fps;,"VGA, videocalling over Wi-Fi only;",,,,,480p@30fps;,,Yes;,Yes;,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot;","4.0, A2DP;","GPS, A-GPS;",,No;,2.0;,,"Accelerometer, gyro, compass;",,,,,,,,,Non-removable Li-Po 11560 mAh battery (42.5 Wh);,,Up to 720 h;,Up to 9 h;,,"Black, White;","A1430, A1403, iPad3,2, iPad3,3;",,,About 400 EUR;
5072,Apple iPad 4 Wi-Fi,Apple,iPad 4 Wi-Fi,"Also known as Apple iPad with Retina display, Apple iPad (4th generation)",No cellular connectivity;, N/A;,,,,,No;,No;,"2012, October. Released 2012, November;",Discontinued;,241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in);,652 g (1.44 lb);,,,No;,,IPS LCD;,"9.7 inches, 291.4 cm2 (~65.1% screen-to-body ratio);","1536 x 2048 pixels, 4:3 ratio (~264 ppi density);","Scratch-resistant glass, oleophobic coating;",,"iOS 6, upgradable to iOS 10.3;",Apple A6X (32 nm);,Dual-core 1.4 GHz;,PowerVR SGX554MP4 (quad-core graphics);,No;,,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM, 128GB 1GB RAM;",,,"5 MP, AF;",,,,,,,1080p@30fps;,1.2 MP;,,,,"Face detection, FaceTime over Wi-Fi;",720p@30fps;,,Yes;,Yes;,,"Wi-Fi 802.11 a/b/g/n, dual-band;","4.0, A2DP;",No;,No;,No;,"Lightning, USB 2.0;",,"Accelerometer, gyro, compass;",,,,,,,,,"Li-Po 11560 mAh, non-removable (42.5 Wh);",,Up to 720 h;,Up to 10 h;,,"Black, White;","A1458, iPad3,4;",,,About 350 EUR;
